

Test SearchCount: 1 Invalid Count: 1 StringCount: 10
BST-10-Insert
Trial,N,BasicOps,Time
1,10,36,8.08238983154e-05
2,10,36,6.69956207275e-05
3,10,36,6.69956207275e-05
4,10,36,6.69956207275e-05
5,10,36,6.69956207275e-05
6,10,36,6.5803527832e-05
7,10,36,6.69956207275e-05
8,10,36,6.69956207275e-05
9,10,36,6.60419464111e-05
10,10,36,6.60419464111e-05


BST-10-SearchSuccessful
Trial,N,BasicOps,Time
1,10,4,1.59740447998e-05
2,10,4,1.21593475342e-05
3,10,4,1.09672546387e-05
4,10,4,1.21593475342e-05
5,10,4,1.09672546387e-05
6,10,4,1.19209289551e-05
7,10,4,1.19209289551e-05
8,10,4,1.09672546387e-05
9,10,4,1.19209289551e-05
10,10,4,1.09672546387e-05


BST-10-SearchInvalidStrings
Trial,N,BasicOps,Time
1,10,5,1.50203704834e-05
2,10,5,1.4066696167e-05
3,10,5,1.50203704834e-05
4,10,5,1.50203704834e-05
5,10,5,1.4066696167e-05
6,10,5,1.50203704834e-05
7,10,5,1.50203704834e-05
8,10,5,1.4066696167e-05
9,10,5,1.4066696167e-05
10,10,5,1.4066696167e-05
