

Test SearchCount: 1000 Invalid Count: 1000 StringCount: 10000
HashTable-10000-Insert
Trial,N,BasicOps,Time
1,10000,90000,0.020437002182
2,10000,90000,0.0139570236206
3,10000,90000,0.0189158916473
4,10000,90000,0.0123119354248
5,10000,90000,0.0122830867767
6,10000,90000,0.016263961792
7,10000,90000,0.0131528377533
8,10000,90000,0.0210130214691
9,10000,90000,0.0152688026428
10,10000,90000,0.0123498439789


HashTable-10000-SearchSuccessful
Trial,N,BasicOps,Time
1,10000,9000,0.00683999061584
2,10000,9000,0.00916409492493
3,10000,9000,0.0100440979004
4,10000,9000,0.00535011291504
5,10000,9000,0.00937104225159
6,10000,9000,0.0115978717804
7,10000,9000,0.0117268562317
8,10000,9000,0.0106799602509
9,10000,9000,0.0047779083252
10,10000,9000,0.00544786453247


HashTable-10000-SearchInvalidStrings
Trial,N,BasicOps,Time
1,10000,9000,0.0125720500946
2,10000,9000,0.00813317298889
3,10000,9000,0.0122640132904
4,10000,9000,0.0102059841156
5,10000,9000,0.00802993774414
6,10000,9000,0.0103430747986
7,10000,9000,0.0147531032562
8,10000,9000,0.0132529735565
9,10000,9000,0.0133399963379
10,10000,9000,0.0135071277618
