

Test SearchCount: 10000 Invalid Count: 10000 StringCount: 100000
234-1425969259-Insert
Trial,N,BasicOps,Time
1,100000,2164533,7.49969482422
2,100000,2164533,7.43155217171
3,100000,2164533,7.24409198761
4,100000,2164533,7.53036189079
5,100000,2164533,7.76370596886
6,100000,2164533,7.62582397461
7,100000,2164533,7.76436305046
8,100000,2164533,7.79287695885
9,100000,2164533,7.59831595421
10,100000,2164533,7.81507015228


234-1425969259-SearchSuccessful
Trial,N,BasicOps,Time
1,100000,181418,0.337627887726
2,100000,181418,0.252404928207
3,100000,181418,0.255597114563
4,100000,181418,0.253545045853
5,100000,181418,0.251116037369
6,100000,181418,0.250699996948
7,100000,181418,0.255825996399
8,100000,181418,0.251497983932
9,100000,181418,0.251291036606
10,100000,181418,0.250334978104


234-1425969259-SearchInvalidStrings
Trial,N,BasicOps,Time
1,100000,193945,0.377104997635
2,100000,193945,0.369356155396
3,100000,193945,0.380455970764
4,100000,193945,0.377174854279
5,100000,193945,0.373428106308
6,100000,193945,0.385471820831
7,100000,193945,0.381475925446
8,100000,193945,0.376266956329
9,100000,193945,0.375189065933
10,100000,193945,0.375674962997
