

Test SearchCount: 1000 Invalid Count: 1000 StringCount: 10000
HashTable-1426014191-Insert
Trial,N,BasicOps,Time
1,10000,90000,0.0248041152954
2,10000,90000,0.0142540931702
3,10000,90000,0.0141699314117
4,10000,90000,0.0143718719482
5,10000,90000,0.0155448913574
6,10000,90000,0.0138728618622
7,10000,90000,0.0138759613037
8,10000,90000,0.0139200687408
9,10000,90000,0.013818025589
10,10000,90000,0.0138521194458


HashTable-1426014191-SearchSuccessful
Trial,N,BasicOps,Time
1,10000,9000,0.00511479377747
2,10000,9000,0.00505900382996
3,10000,9000,0.00507092475891
4,10000,9000,0.00509405136108
5,10000,9000,0.00510692596436
6,10000,9000,0.00505590438843
7,10000,9000,0.00505590438843
8,10000,9000,0.00510811805725
9,10000,9000,0.00505995750427
10,10000,9000,0.00507092475891


HashTable-1426014191-SearchInvalidStrings
Trial,N,BasicOps,Time
1,10000,9000,0.00840783119202
2,10000,9000,0.00840592384338
3,10000,9000,0.00840997695923
4,10000,9000,0.00846910476685
5,10000,9000,0.0083920955658
6,10000,9000,0.00840616226196
7,10000,9000,0.00840902328491
8,10000,9000,0.00844192504883
9,10000,9000,0.00841403007507
10,10000,9000,0.00843811035156
