

Test SearchCount: 1000 Invalid Count: 1000 StringCount: 10000
234-1426028922-Insert
Trial,N,BasicOps,Time
1,10000,159320,0.527489185333
2,10000,159320,0.496855974197
3,10000,159320,0.48738193512
4,10000,159320,0.487571001053
5,10000,159320,0.544257164001
6,10000,159320,0.488172769547
7,10000,159320,0.494344949722
8,10000,159320,0.489176034927
9,10000,159320,0.535233020782
10,10000,159320,0.491389036179


234-1426028922-SearchSuccessful
Trial,N,BasicOps,Time
1,10000,13712,0.0237510204315
2,10000,13712,0.0240609645844
3,10000,13712,0.0234100818634
4,10000,13712,0.0241730213165
5,10000,13712,0.0239260196686
6,10000,13712,0.0233929157257
7,10000,13712,0.0245249271393
8,10000,13712,0.0233619213104
9,10000,13712,0.0233790874481
10,10000,13712,0.0233280658722


234-1426028922-SearchInvalidStrings
Trial,N,BasicOps,Time
1,10000,15003,0.026654958725
2,10000,15003,0.0265879631042
3,10000,15003,0.0265469551086
4,10000,15003,0.0262908935547
5,10000,15003,0.0264239311218
6,10000,15003,0.0259549617767
7,10000,15003,0.0260391235352
8,10000,15003,0.02645611763
9,10000,15003,0.0262441635132
10,10000,15003,0.0263509750366
