

Test SearchCount: 100000 Invalid Count: 100000 StringCount: 1000000
BST-1426030391-Insert
Trial,N,BasicOps,Time
1,1000000,25483029,46.129183054
2,1000000,25483029,48.0812749863
3,1000000,25483029,44.0528039932
4,1000000,25483029,46.2777237892
5,1000000,25483029,45.0525279045
6,1000000,25483029,46.4290630817
7,1000000,25483029,46.5049760342
8,1000000,25483029,47.8332087994
9,1000000,25483029,46.8636460304
10,1000000,25483029,47.3891630173


BST-1426030391-SearchSuccessful
Trial,N,BasicOps,Time
1,1000000,2547605,4.20628094673
2,1000000,2547605,4.70910310745
3,1000000,2547605,5.06306099892
4,1000000,2547605,4.64411091805
5,1000000,2547605,4.65860009193
6,1000000,2547605,4.99498295784
7,1000000,2547605,5.01797199249
8,1000000,2547605,4.95234799385
9,1000000,2547605,4.99516391754
10,1000000,2547605,5.14090514183


BST-1426030391-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000000,2649014,4.97316193581
2,1000000,2649014,5.27641391754
3,1000000,2649014,5.23242902756
4,1000000,2649014,5.26882982254
5,1000000,2649014,5.29063487053
6,1000000,2649014,5.29750800133
7,1000000,2649014,4.94467401505
8,1000000,2649014,4.54665589333
9,1000000,2649014,4.94468903542
10,1000000,2649014,4.60064888
